,Title,Author,Main Genre,Sub Genre,Type,Price,Rating,No. of People rated,URLs
0,The Complete Novel of Sherlock Holmes,Arthur Conan Doyle,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹169.00,4.4,19923,https://www.amazon.in/Complete-Novels-Sherlock-Holmes/dp/8175994312/ref=zg_bs_g_1318054031_d_sccl_1/000-0000000-0000000?psc=1
1,"Black Holes (L) : The Reith Lectures [Paperback] Hawking, Stephen",Stephen Hawking,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹99.00,4.5,7686,https://www.amazon.in/Black-Holes-Lectures-Stephen-Hawking/dp/085750357X/ref=zg_bs_g_1318054031_d_sccl_2/000-0000000-0000000?psc=1
2,The Kite Runner,Khaled Hosseini,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,₹175.75,4.6,50016,https://www.amazon.in/Kite-Runner-Khaled-Hosseini-ebook/dp/B00B0CR0O6/ref=zg_bs_g_1318054031_d_sccl_3/000-0000000-0000000?psc=1
3,Greenlights: Raucous stories and outlaw wisdom from the Academy Award-winning actor,Matthew McConaughey,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹389.00,4.6,32040,https://www.amazon.in/Greenlights-Raucous-stories-Academy-Award-winning/dp/1472280873/ref=zg_bs_g_1318054031_d_sccl_4/000-0000000-0000000?psc=1
4,"The Science of Storytelling: Why Stories Make Us Human, and How to Tell Them Better",Will Storr,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹348.16,4.5,1707,https://www.amazon.in/Science-Storytelling-Will-Storr/dp/0008276978/ref=zg_bs_g_1318054031_d_sccl_5/000-0000000-0000000?psc=1
89,Concepts Of Vocal Music Class 12 (Second Edition),Pt. Satish Chandra Srivastava,"Arts, Film & Photography",Music,Hardcover,₹159.00,4.5,8,https://www.amazon.in/Concepts-Vocal-Music-Class-Second/dp/B09Z5ZMJR2/ref=zg_bs_g_1318059031_d_sccl_10/000-0000000-0000000?psc=1
90,"Piano Adventures, Primer Level, Lesson Book",Nancy Faber,"Arts, Film & Photography",Music,Paperback,₹772.00,4.8,6322,https://www.amazon.in/Piano-Adventures-Lesson-Primer-Level/dp/1616770759/ref=zg_bs_g_1318059031_d_sccl_11/000-0000000-0000000?psc=1
91,Ganamrutha Bodhini Sangeetha Bala Padam English & Varna Malika (English) latest versions,Sangeetha Vidwan A.S. Panchapakesa Iyer,"Arts, Film & Photography",Music,Paperback,₹850.00,4.6,82,https://www.amazon.in/Ganamrutha-Bodhini-Sangeetha-English-versions/dp/B08W5833SN/ref=zg_bs_g_1318059031_d_sccl_12/000-0000000-0000000?psc=1
92,Trinity College London Piano Exam Pieces Plus Exercises from 2023: Grade 1: Extended Edition: 21 Pieces for Trinity College London Exams from 2023,Trinity College London,"Arts, Film & Photography",Music,Sheet music,"₹1,552.00",4.4,5,https://www.amazon.in/Trinity-College-London-Pieces-Exercises/dp/1804903280/ref=zg_bs_g_1318059031_d_sccl_13/000-0000000-0000000?psc=1
93,Best of Taylor Swift : Song collection,Aishi,"Arts, Film & Photography",Music,Paperback,₹260.00,3.9,9,https://www.amazon.in/Best-Taylor-Swift-Song-collection/dp/1649513844/ref=zg_bs_g_1318059031_d_sccl_14/000-0000000-0000000?psc=1
94,Learn Your Fretboard: The Essential Memorization Guide for Guitar (Book + Online Bonus),Luke Zecchin,"Arts, Film & Photography",Music,Paperback,₹647.00,4.4,464,https://www.amazon.in/Learn-Your-Fretboard-Essential-Memorization/dp/0992550726/ref=zg_bs_g_1318059031_d_sccl_15/000-0000000-0000000?psc=1
95,Bollywood Odyssey: The Singing Taxman's Journey Into Film Music,Ajay Mankotia,"Arts, Film & Photography",Music,Paperback,₹675.00,4.4,11,https://www.amazon.in/Bollywood-Odyssey-Singing-Taxmans-Journey/dp/9391800475/ref=zg_bs_g_1318059031_d_sccl_16/000-0000000-0000000?psc=1
96,"ABRSM Grade 3 Theory Workbook, Discovering Music Theory(New Syllabus 2021)",ABRSM Publication,"Arts, Film & Photography",Music,Paperback,₹990.00,4.7,4,https://www.amazon.in/ABRSM-Theory-Workbook-Discovering-Syllabus/dp/B09QJTNHT1/ref=zg_bs_g_1318059031_d_sccl_17/000-0000000-0000000?psc=1
97,"Solfège Des Solfèges, Complete, Book I, Book II and Book III: 337 Sight Singing Exercises",A. Dannhäuser,"Arts, Film & Photography",Music,Paperback,"₹2,349.00",4.7,5,https://www.amazon.in/Solf%C3%A8ge-Solf%C3%A8ges-Complete-Book-III/dp/1544687478/ref=zg_bs_g_1318059031_d_sccl_18/000-0000000-0000000?psc=1
98,A History of Heavy Metal: 'Absolutely hilarious' – Neil Gaiman,Andrew O'Neill,"Arts, Film & Photography",Music,Paperback,₹649.00,4.4,549,https://www.amazon.in/History-Heavy-Metal-Andrew-ONeill/dp/1472241452/ref=zg_bs_g_1318059031_d_sccl_19/000-0000000-0000000?psc=1
99,John Thompson's Modern Course for the Piano 1,John Thompson,"Arts, Film & Photography",Music,Paperback,₹740.00,4.6,88,https://www.amazon.in/Thompsons-Modern-Course-First-Grade/dp/1780388640/ref=zg_bs_g_1318059031_d_sccl_20/000-0000000-0000000?psc=1
200,"Tuesdays With Morrie: An old man, a young man, and life's greatest lesson [Paperback] Albom, Mitch",Mitch Albom,"Biographies, Diaries & True Accounts",Biographies & Autobiographies,Paperback,₹197.00,4.6,25023,https://www.amazon.in/Tuesdays-Morrie-greatest-lesson-Paperback/dp/0751527378/ref=zg_bs_g_1318065031_d_sccl_1/000-0000000-0000000?psc=1
